procedure,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench,significant
Rolling,iv_skew_90_120,72,12m,rolling,rolling,-1.535,0.22787014288189816,0.40987359732331663,0.212044,0.5702589180150492,0.8748529551676223,0
Rolling,iv_skew_90_120,120,12m,rolling,rolling,2.447,0.7628391367064794,0.22277966876543176,0.068979,0.4752632933662544,0.7124144373060346,0
Rolling,iv_skew_90_120,48,1m,rolling,rolling,-11.271,-1.3152901187283752,0.9057937911212219,0.015713,0.9999271463163794,0.9999271463163794,0
Rolling,iv_skew_90_120,60,1m,rolling,rolling,-8.824,-1.119807022669323,0.8686019969985509,0.031143,0.9999271463163794,0.9999271463163794,0
Rolling,iv_skew_90_120,72,1m,rolling,rolling,-7.872,-1.0383477180830252,0.8504458997414869,0.036908,0.9999271463163794,0.9999271463163794,0
Rolling,iv_skew_90_120,120,1m,rolling,rolling,-3.34,-0.7272733520490411,0.7664707404709652,0.0224,0.9999271463163794,0.9999271463163794,0
Rolling,iv_skew_90_120,48,3m,rolling,rolling,-6.949,-0.972151836555358,0.8345124913841009,0.169602,0.9749849786839685,0.9999271463163794,0
Rolling,iv_skew_90_120,60,3m,rolling,rolling,-4.821,-0.39772570175758293,0.6545838051139838,0.207983,0.9749849786839685,0.9999271463163794,0
Rolling,iv_skew_90_120,72,3m,rolling,rolling,-3.342,-0.12549174644328953,0.5499328706146086,0.212127,0.9749849786839685,0.9731530982304595,0
Rolling,iv_skew_90_120,120,3m,rolling,rolling,0.75,0.8541583044130336,0.19650864114081576,0.154365,0.5963017396115606,0.6757117533050381,0
Rolling,iv_skew_90_120,48,6m,rolling,rolling,-9.772,-0.8188767616835337,0.7935716352325544,0.313334,0.92905947539421,0.9999271463163794,0
Rolling,iv_skew_90_120,60,6m,rolling,rolling,-9.888,-1.115618816366112,0.8677073328497665,0.366084,0.9399974897192711,0.9999271463163794,0
Rolling,iv_skew_90_120,72,6m,rolling,rolling,-8.516,-1.269199496813783,0.8978150397527164,0.349924,0.9399974897192711,0.9999271463163794,0
Rolling,iv_skew_90_120,120,6m,rolling,rolling,0.615,0.5285702792194704,0.2985517911038613,0.220187,0.565734607398495,0.7542361038413338,0
Rolling,log_curve_quad,48,12m,rolling,rolling,-19.317,-0.2607515124609203,0.6028579307172828,-7.27e-4,0.6850178805880442,0.9999271463163794,0
Rolling,log_curve_quad,60,12m,rolling,rolling,-13.271,0.19871537990534344,0.42124269626255534,-7.21e-4,0.5738958610816549,0.8791151922001155,0
Rolling,log_curve_quad,72,12m,rolling,rolling,-6.163,0.5626114778564274,0.2868497372613812,-4.8e-4,0.4964747201128546,0.7442587777592593,0
Rolling,log_curve_quad,120,12m,rolling,rolling,4.989,1.5796538985356494,0.057093074353700146,-0.001471,0.22384891056501968,0.46493258330043513,0
Rolling,log_curve_quad,48,1m,rolling,rolling,-7.84,-1.232421186285648,0.8911041046041391,-9.4e-5,0.9999271463163794,0.9999271463163794,0
Rolling,log_curve_quad,60,1m,rolling,rolling,-5.569,-0.8434060803894161,0.8004993137574614,-9.3e-5,0.9999271463163794,0.9999271463163794,0
Rolling,log_curve_quad,72,1m,rolling,rolling,-4,-0.4984383918042355,0.6909124587036033,-9e-5,0.9999271463163794,0.9999271463163794,0
Rolling,log_curve_quad,120,1m,rolling,rolling,0.366,0.8394731439927732,0.20060192676243319,-2.46e-4,0.9999271463163794,0.6757117533050381,0
Rolling,log_curve_quad,48,3m,rolling,rolling,-19.587,-0.7686348388719912,0.7789449412683447,-8.36e-4,0.9749849786839685,0.9999271463163794,0
Rolling,log_curve_quad,60,3m,rolling,rolling,-13.804,-0.09542964720477316,0.5380132157672777,-7.74e-4,0.9749849786839685,0.9653082445363206,0
Rolling,log_curve_quad,72,3m,rolling,rolling,-5.513,0.39234480234074687,0.34740173219375825,-6.36e-4,0.8134284461122144,0.8106765587702013,0
Rolling,log_curve_quad,120,3m,rolling,rolling,2.662,1.5582188611519094,0.05959068768473288,-7.13e-4,0.46632194697509116,0.46493258330043513,0
Rolling,log_curve_quad,48,6m,rolling,rolling,-21.937,-1.1166327250526842,0.8679243033144237,-0.001438,0.9399974897192711,0.9999271463163794,0
Rolling,log_curve_quad,60,6m,rolling,rolling,-19.208,-0.468226270186936,0.6801886061570362,-0.001229,0.8944946053571983,0.9999271463163794,0
Rolling,log_curve_quad,72,6m,rolling,rolling,-6.722,0.22732035616736315,0.41008732273482296,-8.55e-4,0.7030068389739822,0.8748529551676223,0
Rolling,log_curve_quad,120,6m,rolling,rolling,2.72,1.3510642507498518,0.0883374259515657,-8.42e-4,0.33921571565401226,0.4777686135972004,0
Rolling,log_slope_quad,48,12m,rolling,rolling,13.454,2.713941509587342,0.0033243952143099465,0.103331,0.026595161714479572,0.08746494759241857,1
Rolling,log_slope_quad,60,12m,rolling,rolling,15.15,2.9601166174616678,0.0015376130529895205,0.102755,0.018451356635874244,0.06224178555597484,1
Rolling,log_slope_quad,72,12m,rolling,rolling,16.482,3.1923786055090764,7.055312178528066e-4,0.105915,0.01313191420016074,0.05252765680064296,1
Rolling,log_slope_quad,120,12m,rolling,rolling,9.688,3.1484319675388277,8.207446375100463e-4,0.10639,0.01313191420016074,0.05252765680064296,1
Rolling,log_slope_quad,48,1m,rolling,rolling,-4.036,-2.9086485660454593,0.9981850267114567,7.88e-4,0.9999271463163794,0.9999271463163794,0
Rolling,log_slope_quad,60,1m,rolling,rolling,-2.324,-3.798273716051364,0.9999271463163794,0.001047,0.9999271463163794,0.9999271463163794,0
Rolling,log_slope_quad,72,1m,rolling,rolling,-1.732,-2.522359932758591,0.9941714818178834,0.001444,0.9999271463163794,0.9999271463163794,0
Rolling,log_slope_quad,120,1m,rolling,rolling,-1.206,-1.9923748363832643,0.9768350269114561,0.002157,0.9999271463163794,0.9999271463163794,0
Rolling,log_slope_quad,48,3m,rolling,rolling,-6.423,-1.959707033285094,0.9749849786839685,0.001398,0.9749849786839685,0.9999271463163794,0
Rolling,log_slope_quad,60,3m,rolling,rolling,-1.667,-0.43467055187506987,0.6680992117926664,0.003541,0.9749849786839685,0.9999271463163794,0
Rolling,log_slope_quad,72,3m,rolling,rolling,-1.676,-0.12493979124629323,0.5497143918466416,0.005577,0.9749849786839685,0.9731530982304595,0
Rolling,log_slope_quad,120,3m,rolling,rolling,-0.927,-0.14280268664062548,0.5567769924009596,0.008357,0.9749849786839685,0.9762665072236003,0
Rolling,log_slope_quad,48,6m,rolling,rolling,-0.682,1.531886043191494,0.06277527909840462,0.037972,0.3183777472600806,0.46493258330043513,0
Rolling,log_slope_quad,60,6m,rolling,rolling,4.386,2.7048657929672513,0.0034165995153288505,0.039444,0.10617831468499084,0.08746494759241857,0
Rolling,log_slope_quad,72,6m,rolling,rolling,4.179,2.6178645138481222,0.004424096445207952,0.041648,0.10617831468499084,0.10617831468499084,0
Rolling,log_slope_quad,120,6m,rolling,rolling,2.659,1.8430799536495166,0.03265866886410631,0.042368,0.3183777472600806,0.44535423335338464,0
Rolling,skew_curve_quad,48,12m,rolling,rolling,-11.949,0.3587717294638032,0.3598829315991535,-0.006968,0.5367785861339086,0.8275152439166165,0
Rolling,skew_curve_quad,60,12m,rolling,rolling,-13.355,0.0767867810087985,0.4693965834575848,-0.007824,0.5967805739642591,0.9060301144506683,0
Rolling,skew_curve_quad,72,12m,rolling,rolling,-9.654,0.16872489255421685,0.4330065190297994,-0.01128,0.5773420253730659,0.891488109077255,0
Rolling,skew_curve_quad,120,12m,rolling,rolling,3.189,0.86137758505496,0.19451505861717816,-0.009802,0.4554498933475391,0.6757117533050381,0
Rolling,skew_curve_quad,48,1m,rolling,rolling,-12.193,-1.551802647584269,0.9396452738677792,6.81e-4,0.9999271463163794,0.9999271463163794,0
Rolling,skew_curve_quad,60,1m,rolling,rolling,-8.227,-1.67734457765759,0.9532624398623792,7.48e-4,0.9999271463163794,0.9999271463163794,0
Rolling,skew_curve_quad,72,1m,rolling,rolling,-6.597,-1.4275368432277427,0.9232873933609673,3.04e-4,0.9999271463163794,0.9999271463163794,0
Rolling,skew_curve_quad,120,1m,rolling,rolling,-0.287,0.45906954835162533,0.32309211173755265,-6.26e-4,0.9999271463163794,0.7802979302340893,0
Rolling,skew_curve_quad,48,3m,rolling,rolling,-19.934,-0.6646735657371581,0.7468703475736699,4.29e-4,0.9749849786839685,0.9999271463163794,0
Rolling,skew_curve_quad,60,3m,rolling,rolling,-15.782,-1.4123371505382452,0.9210746437250537,9.22e-4,0.9749849786839685,0.9999271463163794,0
Rolling,skew_curve_quad,72,3m,rolling,rolling,-12.388,-0.8326708864136441,0.7974848158399381,-4.66e-4,0.9749849786839685,0.9999271463163794,0
Rolling,skew_curve_quad,120,3m,rolling,rolling,0.469,0.974364629064382,0.16493776267944896,-0.002073,0.5655009006152535,0.633361008689084,0
Rolling,skew_curve_quad,48,6m,rolling,rolling,-21.638,-0.6622221041536094,0.7460855549555494,-8.05e-4,0.9182591445606763,0.9999271463163794,0
Rolling,skew_curve_quad,60,6m,rolling,rolling,-19.638,-1.0583860199603725,0.8550602548224119,2.9e-5,0.9399974897192711,0.9999271463163794,0
Rolling,skew_curve_quad,72,6m,rolling,rolling,-12.775,-0.5587053631610671,0.7118185907399289,-0.002144,0.906394525198817,0.9999271463163794,0
Rolling,skew_curve_quad,120,6m,rolling,rolling,1.547,0.9604012129105138,0.16842666395221167,-0.00353,0.46197027826892345,0.6403548411648443,0
Rolling,skew_ratio_80_100,48,12m,rolling,rolling,-7.419,0.7853151518985241,0.2161344071159721,-0.169213,0.4715659791621209,0.7093642079703699,0
Rolling,skew_ratio_80_100,60,12m,rolling,rolling,-2.608,1.265779859317386,0.10279595388704199,-0.150097,0.2990427749441222,0.5029104910036266,0
Rolling,skew_ratio_80_100,72,12m,rolling,rolling,3.419,1.5052995572304242,0.06612353949346043,-0.129795,0.23510591819897042,0.46493258330043513,0
Rolling,skew_ratio_80_100,120,12m,rolling,rolling,7.361,1.9928135421004858,0.02314093416022982,-0.089433,0.1234183155212257,0.37025494656367713,0
Rolling,skew_ratio_80_100,48,1m,rolling,rolling,-8.057,-1.458114496891483,0.9275955069197273,-0.013047,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_80_100,60,1m,rolling,rolling,-4.137,-0.27447022994183967,0.6081383607356777,-0.009811,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_80_100,72,1m,rolling,rolling,-2.587,0.3037445744584185,0.38066124793664274,-0.0077210000000000004,0.9999271463163794,0.8392183372290132,0
Rolling,skew_ratio_80_100,120,1m,rolling,rolling,0.753,0.9374423068594555,0.1742655436827036,-0.009598,0.9999271463163794,0.6434420074438287,0
Rolling,skew_ratio_80_100,48,3m,rolling,rolling,-19.345,-0.573445167466958,0.7168283422862897,-0.057449,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_80_100,60,3m,rolling,rolling,-11.014,1.0768189743796395,0.14078057339710953,-0.044769,0.5005531498563894,0.5751036189839368,0
Rolling,skew_ratio_80_100,72,3m,rolling,rolling,-0.995,1.3225619159829747,0.0929905531169735,-0.034101,0.46632194697509116,0.48915578625914824,0
Rolling,skew_ratio_80_100,120,3m,rolling,rolling,3.978,1.814592220180674,0.034793299480733175,-0.02807,0.46632194697509116,0.44535423335338464,0
Rolling,skew_ratio_80_100,48,6m,rolling,rolling,-19.374,-0.02063921461332073,0.5082332708084699,-0.118185,0.7392483939032289,0.9337874449303946,0
Rolling,skew_ratio_80_100,60,6m,rolling,rolling,-16.136,0.613455417285416,0.26978762645405086,-0.09379,0.5386557311348193,0.7281139538098248,0
Rolling,skew_ratio_80_100,72,6m,rolling,rolling,-1.032,1.0192789513863798,0.15403527691521943,-0.07141,0.45123158912619804,0.6097891374788068,0
Rolling,skew_ratio_80_100,120,6m,rolling,rolling,5.291,1.7522001399862959,0.03986969979985471,-0.045083,0.3183777472600806,0.4639383249437639,0
Rolling,skew_ratio_80_110,48,12m,rolling,rolling,14.738,2.7690686410363043,0.0028108395094493654,-0.398042,0.024530962991558096,0.08302787474065818,1
Rolling,skew_ratio_80_110,60,12m,rolling,rolling,20.591,2.8583053307282538,0.0021295517548322444,-0.400508,0.020443696846389546,0.06814565615463182,1
Rolling,skew_ratio_80_110,72,12m,rolling,rolling,21.742,3.0218160467620065,0.0012563159518431575,-0.396951,0.017229475910991873,0.06224178555597484,1
Rolling,skew_ratio_80_110,120,12m,rolling,rolling,-5.459,0.452574896495608,0.325427439316511,-0.229994,0.5206839029064176,0.7810258543596265,0
Rolling,skew_ratio_80_110,48,1m,rolling,rolling,-6.113,-2.3764815939575934,0.9912606833023072,-0.012028,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_80_110,60,1m,rolling,rolling,-3.413,-1.467303010085845,0.9288531773750851,-0.01461,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_80_110,72,1m,rolling,rolling,-3.031,-0.41225734231594124,0.6599245942715534,-0.016858,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_80_110,120,1m,rolling,rolling,-0.067,0.37234470165859007,0.3548181101317667,-0.010744,0.9999271463163794,0.8207840619915566,0
Rolling,skew_ratio_80_110,48,3m,rolling,rolling,-8.709,-0.2966298960859742,0.6166254580875802,-0.04857,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_80_110,60,3m,rolling,rolling,-1.942,0.8899490941492889,0.18674661041730814,-0.05827,0.5963017396115606,0.6750953037378914,0
Rolling,skew_ratio_80_110,72,3m,rolling,rolling,-3.049,1.2620613471967654,0.10346335622210028,-0.062976,0.46632194697509116,0.5029104910036266,0
Rolling,skew_ratio_80_110,120,3m,rolling,rolling,-0.026,0.6642849598105365,0.253253972677379,-0.034888,0.6623315963139496,0.7281139538098248,0
Rolling,skew_ratio_80_110,48,6m,rolling,rolling,-1.074,1.4981583169381074,0.06704606127249017,-0.172577,0.3183777472600806,0.46493258330043513,0
Rolling,skew_ratio_80_110,60,6m,rolling,rolling,6.143,2.411622342381281,0.0079408612794931,-0.177943,0.1524645365662675,0.1524645365662675,0
Rolling,skew_ratio_80_110,72,6m,rolling,rolling,5.541,2.342241071806982,0.009584164632973112,-0.178078,0.1533466341275698,0.17525329614579405,0
Rolling,skew_ratio_80_110,120,6m,rolling,rolling,-0.155,0.6869265642374898,0.24606450306747446,-0.100966,0.5368680066926715,0.7212883143351924,0
Rolling,skew_ratio_80_120,48,12m,rolling,rolling,18.205,4.051110464229769,2.5487566765615476e-5,-0.296832,0.001223403204749543,0.004893612818998172,1
Rolling,skew_ratio_80_120,60,12m,rolling,rolling,22.655,3.7001042111953653,1.0775547515084936e-4,-0.302788,0.0034481752048271795,0.013792700819308718,1
Rolling,skew_ratio_80_120,72,12m,rolling,rolling,23.468,4.290294813546557,8.9218041391492e-6,-0.312613,8.564931973583231e-4,0.0034259727894332924,1
Rolling,skew_ratio_80_120,120,12m,rolling,rolling,2.915,1.5352612029015333,0.06235984001073176,-0.257156,0.2302517169627019,0.46493258330043513,0
Rolling,skew_ratio_80_120,48,1m,rolling,rolling,-4.888,-2.3812037602372538,0.9913719180136096,-0.005563,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_80_120,60,1m,rolling,rolling,-2.668,-1.7316626066200898,0.9583331739320272,-0.007979,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_80_120,72,1m,rolling,rolling,-2.249,-0.4614672584790243,0.6777682967170466,-0.010758,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_80_120,120,1m,rolling,rolling,-0.598,-0.1379981066935678,0.5548790430642112,-0.012293,0.9999271463163794,0.9762665072236003,0
Rolling,skew_ratio_80_120,48,3m,rolling,rolling,-7.282,-0.950101082732166,0.828969553442019,-0.020935,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_80_120,60,3m,rolling,rolling,-1.315,0.7355970839915984,0.23098796885749817,-0.032031,0.6439909521106889,0.7124144373060346,0
Rolling,skew_ratio_80_120,72,3m,rolling,rolling,-1.009,1.595888875639039,0.05525680281697903,-0.041586,0.46632194697509116,0.46493258330043513,0
Rolling,skew_ratio_80_120,120,3m,rolling,rolling,-0.628,0.6156214029488477,0.26907221100254197,-0.040045,0.6623315963139496,0.7281139538098248,0
Rolling,skew_ratio_80_120,48,6m,rolling,rolling,-0.074,1.52262112828178,0.0639267603410779,-0.109617,0.3183777472600806,0.46493258330043513,0
Rolling,skew_ratio_80_120,60,6m,rolling,rolling,6.758,2.9296846164772727,0.0016965309460263945,-0.121535,0.08143348540926694,0.06224178555597484,1
Rolling,skew_ratio_80_120,72,6m,rolling,rolling,6.197,2.9378744873558946,0.0016523539188058691,-0.132546,0.08143348540926694,0.06224178555597484,1
Rolling,skew_ratio_80_120,120,6m,rolling,rolling,1.797,1.432069621267431,0.07606194873980122,-0.109771,0.3183777472600806,0.46493258330043513,0
Rolling,skew_ratio_90_100,48,12m,rolling,rolling,-10.836,0.1207497366765709,0.4519446315035101,-0.187669,0.59433814553886255,0.8960681148326142,0
Rolling,skew_ratio_90_100,60,12m,rolling,rolling,1.582,1.569257399898488,0.05829398712630721,-0.153276,0.22384891056501968,0.46493258330043513,0
Rolling,skew_ratio_90_100,72,12m,rolling,rolling,7.231,2.1009848811295453,0.01782114672211984,-0.123796,0.1006370638425591,0.2975356670127834,0
Rolling,skew_ratio_90_100,120,12m,rolling,rolling,10.26,2.5640056370016806,0.0051735932035875554,-0.084153,0.03780865687456674,0.11686234059868361,1
Rolling,skew_ratio_90_100,48,1m,rolling,rolling,-7.044,-0.9312311259466639,0.8241329898464221,-0.031549,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_90_100,60,1m,rolling,rolling,-2.581,0.5042521850105852,0.30704208662780264,-0.028026,0.9999271463163794,0.7639218902451016,0
Rolling,skew_ratio_90_100,72,1m,rolling,rolling,-1.384,0.7313244898239851,0.23229048765780577,-0.023663,0.9999271463163794,0.7124144373060346,0
Rolling,skew_ratio_90_100,120,1m,rolling,rolling,0.329,0.5815365093373285,0.2804394597518154,-0.015938,0.9999271463163794,0.737594195511624,0
Rolling,skew_ratio_90_100,48,3m,rolling,rolling,-17.536,-0.8249188547757492,0.7952911694665951,-0.084276,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_90_100,60,3m,rolling,rolling,-4.207,1.1082924393183855,0.1338677698345631,-0.078508,0.5005531498563894,0.5720778905071047,0
Rolling,skew_ratio_90_100,72,3m,rolling,rolling,-0.329,1.3267526052533458,0.09229526654590214,-0.068414,0.46632194697509116,0.48915578625914824,0
Rolling,skew_ratio_90_100,120,3m,rolling,rolling,5.349,1.7744087299221112,0.037997783444969735,-0.043948,0.46632194697509116,0.4559734013396368,0
Rolling,skew_ratio_90_100,48,6m,rolling,rolling,-20.565,-0.6138313143960817,0.7303365989682544,-0.142437,0.9105495259863952,0.9999271463163794,0
Rolling,skew_ratio_90_100,60,6m,rolling,rolling,-7.87,0.500496590229607,0.30836272823491107,-0.124193,0.565734607398495,0.7639218902451016,0
Rolling,skew_ratio_90_100,72,6m,rolling,rolling,-0.415,0.9952341922129065,0.15981118781552847,-0.103348,0.45123158912619804,0.619873698193565,0
Rolling,skew_ratio_90_100,120,6m,rolling,rolling,8.212,1.7812046392855125,0.037439513026134984,-0.059364,0.3183777472600806,0.4559734013396368,0
Rolling,skew_ratio_90_110,48,12m,rolling,rolling,5.734,1.4846432830009326,0.06881917168925075,-0.303524,0.23595144579171684,0.46493258330043513,0
Rolling,skew_ratio_90_110,60,12m,rolling,rolling,3.292,1.4548690369820647,0.07285276058953016,-0.284232,0.24116775919292743,0.46493258330043513,0
Rolling,skew_ratio_90_110,72,12m,rolling,rolling,4.652,1.5939068799886469,0.05547844662378354,-0.277104,0.22384891056501968,0.46493258330043513,0
Rolling,skew_ratio_90_110,120,12m,rolling,rolling,7.794,1.8423719982583873,0.03271037741128347,-0.280692,0.15700981157416066,0.44535423335338464,0
Rolling,skew_ratio_90_110,48,1m,rolling,rolling,-4.769,-2.565143724820419,0.9948433462410038,-0.001977,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_90_110,60,1m,rolling,rolling,-2.576,-2.652833022594622,0.9960090327036413,-8.07e-4,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_90_110,72,1m,rolling,rolling,-1.723,-2.0852504629469344,0.9814767142832157,0.00153,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_90_110,120,1m,rolling,rolling,-1.166,-1.991780733969278,0.9768024394929666,0.002536,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_90_110,48,3m,rolling,rolling,-7.184,-1.9253915149816672,0.972909801844256,-0.001138,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_90_110,60,3m,rolling,rolling,-1.05,-0.6368734980984073,0.7378963767038027,-6.95e-4,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_90_110,72,3m,rolling,rolling,-1.28,-0.8872469787676773,0.812527027673957,0.002332,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_90_110,120,3m,rolling,rolling,-0.571,-0.32982205157169586,0.629232787930424,0.001617,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_90_110,48,6m,rolling,rolling,-1.797,0.6320555191545778,0.26367529968999104,-0.138799,0.5386557311348193,0.7281139538098248,0
Rolling,skew_ratio_90_110,60,6m,rolling,rolling,0.692,1.4305612358885973,0.07627800194772764,-0.12948,0.3183777472600806,0.46493258330043513,0
Rolling,skew_ratio_90_110,72,6m,rolling,rolling,1.119,1.4325087637485971,0.07599913591754809,-0.121831,0.3183777472600806,0.46493258330043513,0
Rolling,skew_ratio_90_110,120,6m,rolling,rolling,1.471,1.5144060476889791,0.06496144317834515,-0.11654,0.3183777472600806,0.46493258330043513,0
Rolling,skew_ratio_90_120,48,12m,rolling,rolling,7.817,1.6373309698065392,0.050780666616762636,-0.222643,0.22384891056501968,0.46493258330043513,0
Rolling,skew_ratio_90_120,60,12m,rolling,rolling,3.276,2.102043864704021,0.01777471675324266,-0.207162,0.1006370638425591,0.2975356670127834,0
Rolling,skew_ratio_90_120,72,12m,rolling,rolling,-0.288,1.193912808834436,0.11625603826115971,-0.200248,0.3282523433256274,0.5378592613528352,0
Rolling,skew_ratio_90_120,120,12m,rolling,rolling,6.923,2.4246475197419723,0.007661628172125655,-0.197154,0.049034420301604195,0.1524645365662675,1
Rolling,skew_ratio_90_120,48,1m,rolling,rolling,-4.4,-2.9649046314631393,0.998486116121587,-0.005224,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_90_120,60,1m,rolling,rolling,-2.537,-3.3282658535815663,0.9995630578519865,-0.00397,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_90_120,72,1m,rolling,rolling,-1.988,-3.1673640288686333,0.999230861866067,-0.002442,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_90_120,120,1m,rolling,rolling,-1.459,-1.990456547756423,0.976729666978662,-0.003832,0.9999271463163794,0.9999271463163794,0
Rolling,skew_ratio_90_120,48,3m,rolling,rolling,-5.333,-1.7397674792860762,0.9590500724861099,-0.006573,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_90_120,60,3m,rolling,rolling,-1.617,-0.4680038143331148,0.6801090690004499,-0.007063,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_90_120,72,3m,rolling,rolling,-2.71,-1.5382174447429642,0.9380022714910508,-0.004965,0.9749849786839685,0.9999271463163794,0
Rolling,skew_ratio_90_120,120,3m,rolling,rolling,-0.369,0.11295128218969788,0.45503458956343684,-0.01187,0.9100691791268737,0.8960681148326142,0
Rolling,skew_ratio_90_120,48,6m,rolling,rolling,-0.668,1.2112608774704297,0.11289771880569295,-0.092956,0.4168531155902509,0.528691756358367,0
Rolling,skew_ratio_90_120,60,6m,rolling,rolling,0.071,1.4467506052644714,0.07398339277186308,-0.085947,0.3183777472600806,0.46493258330043513,0
Rolling,skew_ratio_90_120,72,6m,rolling,rolling,-1.749,0.7204751958331838,0.23561623317152708,-0.079097,0.5368680066926715,0.7124144373060346,0
Rolling,skew_ratio_90_120,120,6m,rolling,rolling,1.796,1.8217702315059874,0.03424492819766749,-0.080329,0.3183777472600806,0.44535423335338464,0
Rolling,skew_slope_quad,48,12m,rolling,rolling,-16.345,-1.4829833220812632,0.930960579033112,0.007799,0.930960579033112,0.9999271463163794,0
Rolling,skew_slope_quad,60,12m,rolling,rolling,-6.249,-0.5605720833093771,0.7124553564942543,0.035526,0.7749889791268928,0.9999271463163794,0
Rolling,skew_slope_quad,72,12m,rolling,rolling,1.888,0.8700856396680662,0.19212680241308946,0.073295,0.4554498933475391,0.6757117533050381,0
Rolling,skew_slope_quad,120,12m,rolling,rolling,-3.185,-0.2209494475253648,0.5874341024174491,0.129374,0.6794418533984953,0.9999271463163794,0
Rolling,skew_slope_quad,48,1m,rolling,rolling,-9.978,-1.33327872272292,0.9087798232577498,-0.021412,0.9999271463163794,0.9999271463163794,0
Rolling,skew_slope_quad,60,1m,rolling,rolling,-8.042,-1.0822038907490037,0.8604190299765897,-0.018626,0.9999271463163794,0.9999271463163794,0
Rolling,skew_slope_quad,72,1m,rolling,rolling,-6.965,-1.1169945655678648,0.8680016756006912,-0.013891,0.9999271463163794,0.9999271463163794,0
Rolling,skew_slope_quad,120,1m,rolling,rolling,-2.606,-0.9769072092073037,0.8356924538004239,-0.005627,0.9999271463163794,0.9999271463163794,0
Rolling,skew_slope_quad,48,3m,rolling,rolling,-9.283,-1.404084810766633,0.9198532019521564,-0.075388,0.9749849786839685,0.9999271463163794,0
Rolling,skew_slope_quad,60,3m,rolling,rolling,-5.869,-0.7645625681377493,0.7777339670683694,-0.067746,0.9749849786839685,0.9999271463163794,0
Rolling,skew_slope_quad,72,3m,rolling,rolling,-4.927,-0.6807053575447962,0.7519710271777225,-0.054656,0.9749849786839685,0.9999271463163794,0
Rolling,skew_slope_quad,120,3m,rolling,rolling,-0.023,0.3215567190807985,0.37389426840349316,-0.027372,0.8377393482545605,0.8392183372290132,0
Rolling,skew_slope_quad,48,6m,rolling,rolling,-17.968,-0.9048935249208504,0.8172391011548125,-0.11562,0.9399974897192711,0.9999271463163794,0
Rolling,skew_slope_quad,60,6m,rolling,rolling,-17.733,-1.1737658671216573,0.8797555903746193,-0.094679,0.9399974897192711,0.9999271463163794,0
Rolling,skew_slope_quad,72,6m,rolling,rolling,-14.01,-1.365857980714306,0.9140082281895285,-0.06356,0.9399974897192711,0.9999271463163794,0
Rolling,skew_slope_quad,120,6m,rolling,rolling,-0.645,0.003090148162042838,0.4987672112074432,-0.015135,0.7392483939032289,0.9252493193413439,0
Rolling,vix_ann,48,12m,rolling,rolling,-7.475,0.6006161238131162,0.2740478480938986,0.54879,0.4964747201128546,0.7281139538098248,0
Rolling,vix_ann,60,12m,rolling,rolling,-10.047,0.29903604010475643,0.3824562734767638,0.535141,0.5399382684377843,0.8392183372290132,0
Rolling,vix_ann,72,12m,rolling,rolling,-6.663,0.3081780825226069,0.3789734145006316,0.521463,0.5399382684377843,0.8392183372290132,0
Rolling,vix_ann,120,12m,rolling,rolling,2.31,0.6448034266449802,0.2595272905274147,0.458507,0.4885219586398394,0.7281139538098248,0
Rolling,vix_ann,48,1m,rolling,rolling,-17.204,-1.0350049050435994,0.8496666897515824,0.091844,0.9999271463163794,0.9999271463163794,0
Rolling,vix_ann,60,1m,rolling,rolling,-7.811,-0.6161791916258345,0.7311118698443193,0.088351,0.9999271463163794,0.9999271463163794,0
Rolling,vix_ann,72,1m,rolling,rolling,-7.279,-0.580234570634482,0.7191217782340049,0.079679,0.9999271463163794,0.9999271463163794,0
